gene	seqnames	start	end	strand	type	product	ID	Name	copy_number	part	Kinetic_class	cluster	au	si	gene_to_centroid_dist	sil_width
ORF68, ORF67											L	cluster_1	1	1	0.296109453978894	0.631698572151624
ORF69	NC_001491.2	126411	127559	+	CDS	serine/threonine protein kinase US3	cds-YP_053113.1	ORF69	1	1						
ORF69, ORF70											E/L	cluster_12	0.954607408131042	0.820984322003169	0	0
ORF7	NC_001491.2	7056	10301	-	CDS	helicase-primase primase subunit	cds-YP_053052.1	ORF7	1	1						
ORF7,  ORF6,  ORF5											E/L	cluster_5	0.680835472485176	0.31689166118919	0.0340319244394821	0.563639917216639
ORF70	NC_001491.2	127681	128916	+	CDS	envelope glycoprotein G	cds-YP_053114.1	ORF70	1	1						
ORF71	NC_001491.2	129097	131490	+	CDS	envelope glycoprotein J	cds-YP_053115.1	ORF71	1	1						
ORF71, ORF72, ORF73											L	cluster_8	0.940399794012629	0.709592353196381	0.129218638886528	0.462241789040429
ORF72	NC_001491.2	131583	132791	+	CDS	envelope glycoprotein D	cds-YP_053116.2	ORF72	1	1						
ORF73	NC_001491.2	132899	134173	+	CDS	envelope glycoprotein I	cds-YP_053117.1	ORF73	1	1						
ORF74	NC_001491.2	134406	136058	+	CDS	envelope glycoprotein E	cds-YP_053118.1	ORF74	1	1						
ORF74, ORF75, ORF76, ORF67 											L	cluster_1	1	1	0.206301208023189	0.641324331082477
ORF75	NC_001491.2	136055	136447	+	CDS	membrane protein US8A	cds-YP_053119.1	ORF75	1	1						
ORF76	NC_001491.2	136783	137442	+	CDS	membrane protein US9	cds-YP_053120.1	ORF76	1	1						
ORF8	NC_001491.2	10300	11037	+	CDS	tegument protein UL51	cds-YP_053053.1	ORF8	1	1	L	cluster_6	0.901192523579749	0.767422201952888	0.0915185992310384	0.650130531403759
ORF9	NC_001491.2	11135	12115	-	CDS	deoxyuridine triphosphatase	cds-YP_053054.1	ORF9	1	1	L	cluster_3	0.639733417267008	0.183746588198466	0.0166478996252388	0.671312649363747
