seqnames	strand	sum_count	CAGE_ID	prime5.TR	prime3.TR	transcript_id	CAGE.cluster.start	CAGE.cluster.end	CAGE_significance	score	support	TX_ID	TX_nov_ID	Ref.prime3.TR	TES	cmp_ref	class_code	gene	CAGE_cluster_width	cluster_ID	cluster_start	cluster_end	cluster_width	cluster_center	cluster_peak	final_TX_ID
NC_001491.2	+	1	CAGE_cluster_115	15830	20387	110512	15815	15859	**	1109.593974941	5	3520	TX_nov_ID_146	20385	16	ORF14-L2	5`-long	ORF14	45	cluster_2	15822	15830	9	15826	15828	14
NC_001491.2	+	1	CAGE_cluster_115	15837	16356	423258	15815	15859	**	1109.593974941	5	12629	TX_nov_ID_121	16341	15	ORF12-AT	c	ORF12	45	cluster_3	15837	15847	11	15842	15839	15
NC_001491.2	+	1	CAGE_cluster_115	15842	20387	230460	15815	15859	**	1109.593974941	5	3520	TX_nov_ID_146	20385	16	ORF14-L2	5`-long	ORF14	45	cluster_3	15837	15847	11	15842	15839	16
NC_001491.2	+	1	CAGE_cluster_115	15845	20387	380802	15815	15859	**	1109.593974941	5	3520	TX_nov_ID_146	20385	16	ORF14-L2	5`-long	ORF14	45	cluster_3	15837	15847	11	15842	15839	16
NC_001491.2	+	1	CAGE_cluster_115	15854	20387	401280	15815	15859	**	1109.593974941	5	3520	TX_nov_ID_146	20385	16	ORF14-L2	5`-long	ORF14	45	cluster_4	15854	15859	6	15856	15859	17
NC_001491.2	+	1	CAGE_cluster_115	15855	20387	85897	15815	15859	**	1109.593974941	5	3520	TX_nov_ID_146	20385	16	ORF14-L2	5`-long	ORF14	45	cluster_4	15854	15859	6	15856	15859	17
NC_001491.2	+	1	CAGE_cluster_115	15857	16356	279606	15815	15859	**	1109.593974941	5	12629	TX_nov_ID_121	16341	15	ORF12-AT	c	ORF12	45	cluster_4	15854	15859	6	15856	15859	18
NC_001491.2	+	1	CAGE_cluster_132	17505	20387	286613	17500	17527	***	853.930812869	3	353	TX_nov_ID_155	20385	16	ORF14-L6	5`-short	ORF14	28	cluster_1	17500	17505	6	17502	17503	19
NC_001491.2	+	1	CAGE_cluster_138	17956	20387	214471	17951	18020	***	63752.914516575	9	322	TX_nov_ID_140	20385	16	ORF14	o	ORF14	70	cluster_1	17951	17974	24	17963	17967	20
NC_001491.2	+	1	CAGE_cluster_138	17974	20382	492898	17951	18020	***	63752.914516575	9	18294	TX_nov_ID_140	20385	16	ORF14	5`-long	ORF14	70	cluster_1	17951	17974	24	17963	17967	20
NC_001491.2	+	1	CAGE_cluster_138	17981	20387	81429	17951	18020	***	63752.914516575	9	322	TX_nov_ID_140	20385	16	ORF14	Splice-variant	ORF14	70	cluster_2	17980	17988	9	17984	17985	21
NC_001491.2	+	1	CAGE_cluster_138	17988	20387	273496	17951	18020	***	63752.914516575	9	322	TX_nov_ID_140	20385	16	ORF14	Splice-variant	ORF14	70	cluster_2	17980	17988	9	17984	17985	21
NC_001491.2	+	1	CAGE_cluster_138	17994	20387	514193	17951	18020	***	63752.914516575	9	322	TX_nov_ID_140	20385	16	ORF14	Splice-variant	ORF14	70	cluster_3	17994	17998	5	17996	17998	22
NC_001491.2	+	1	CAGE_cluster_138	17997	20381	264810	17951	18020	***	63752.914516575	9	25033	TX_nov_ID_140	20385	16	ORF14	5`-short	ORF14	70	cluster_3	17994	17998	5	17996	17998	22
NC_001491.2	+	1	CAGE_cluster_138	18011	20386	86009	17951	18020	***	63752.914516575	9	19893	TX_nov_ID_140	20385	16	ORF14	5`-short	ORF14	70	cluster_4	18011	18020	10	18015	18016	23
NC_001491.2	+	1	CAGE_cluster_141	18141	20387	226717	18128	18154	**	1741.107978909	4	302	TX_nov_ID_153	20385	16	ORF14	o	ORF14	27	cluster_1	18128	18154	27	18142	18151	24
NC_001491.2	+	1	CAGE_cluster_141	18147	20387	304619	18128	18154	**	1741.107978909	4	302	TX_nov_ID_153	20385	16	ORF14	5`-short	ORF14	27	cluster_1	18128	18154	27	18142	18151	24
NC_001491.2	+	1	CAGE_cluster_141	18149	20387	119232	18128	18154	**	1741.107978909	4	302	TX_nov_ID_153	20385	16	ORF14	5`-short	ORF14	27	cluster_1	18128	18154	27	18142	18151	24
NC_001491.2	+	1	CAGE_cluster_147	18492	20387	324805	18485	18515	**	1156.840041188	4	61	TX_nov_ID_162	20385	16	ORF14	o	ORF14	31	cluster_1	18487	18515	29	18501	18487	25
NC_001491.2	+	1	CAGE_cluster_147	18514	20387	28517	18485	18515	**	1156.840041188	4	61	TX_nov_ID_162	20385	16	ORF14	5`-short	ORF14	31	cluster_1	18487	18515	29	18501	18487	25
NC_001491.2	+	1	CAGE_cluster_155	18975	20387	414012	18970	18982	*	216.982829299	2	234	TX_nov_ID_167	20385	16	ORF14.5	5`-long	ORF14	13	cluster_1	18970	18982	13	18976	18979	26
NC_001491.2	+	1	CAGE_cluster_156	19018	20379	273516	19008	19023	*	353.170007393	2	33013	TX_nov_ID_158	20385	16	ORF14.5	5`-long	ORF14	16	cluster_1	19009	19022	14	19015	19015	27
NC_001491.2	+	1	CAGE_cluster_159	19256	20380	81093	19217	19290	***	1928.332629883	6	17516	TX_nov_ID_142	20385	16	ORF14.5	5`-long	ORF14	74	cluster_2	19247	19288	42	19268	19287	28
NC_001491.2	+	1	CAGE_cluster_159	19264	20387	119031	19217	19290	***	1928.332629883	6	276	TX_nov_ID_142	20385	16	ORF14.5	o	ORF14	74	cluster_2	19247	19288	42	19268	19287	28
NC_001491.2	+	1	CAGE_cluster_160	19334	20374	382798	19322	19347	**	1734.34633006	5	18970	TX_nov_ID_147	20385	16	ORF14.5	k	ORF14	26	cluster_1	19322	19347	26	19333	19331	29
NC_001491.2	+	1	CAGE_cluster_161	19451	20387	267798	19449	19464	*	353.170007393	2	731	TX_nov_ID_145	20385	16	ORF14.5	o	ORF14	16	cluster_1	19449	19464	16	19456	19464	30
NC_001491.2	+	1	CAGE_cluster_161	19454	20386	207019	19449	19464	*	353.170007393	2	10695	TX_nov_ID_145	20385	16	ORF14.5	5`-long	ORF14	16	cluster_1	19449	19464	16	19456	19464	30
NC_001491.2	+	1	CAGE_cluster_162	19568	20379	156427	19561	19597	**	1122.931500943	5	12318	TX_nov_ID_135	20385	16	ORF14.5	5`-long	ORF14	37	cluster_1	19561	19597	37	19579	19579	31
NC_001491.2	+	1	CAGE_cluster_162	19577	20391	253212	19561	19597	**	1122.931500943	5	7711	TX_nov_ID_135	20385	16	ORF14.5	5`-long	ORF14	37	cluster_1	19561	19597	37	19579	19579	31
NC_001491.2	+	1	CAGE_cluster_162	19587	20369	47750	19561	19597	**	1122.931500943	5	31156	TX_nov_ID_135	20385	16	ORF14.5	~	ORF14	37	cluster_1	19561	19597	37	19579	19579	31
NC_001491.2	+	1	CAGE_cluster_163	19639	20384	163662	19628	19686	***	77902.069581753	9	479	TX_nov_ID_136	20385	16	ORF14.5	5`-long	ORF14	59	cluster_1	19629	19652	24	19640	19640	32
NC_001491.2	+	1	CAGE_cluster_163	19652	20379	246954	19628	19686	***	77902.069581753	9	2724	TX_nov_ID_136	20385	16	ORF14.5	Splice-variant	ORF14	59	cluster_1	19629	19652	24	19640	19640	32
NC_001491.2	+	1	CAGE_cluster_163	19663	20370	469260	19628	19686	***	77902.069581753	9	1923	TX_nov_ID_136	20385	16	ORF14.5	3`-short	ORF14	59	cluster_2	19659	19668	10	19663	19661	33
NC_001491.2	+	1	CAGE_cluster_163	19664	20373	361105	19628	19686	***	77902.069581753	9	1323	TX_nov_ID_136	20385	16	ORF14.5	3`-short	ORF14	59	cluster_2	19659	19668	10	19663	19661	33
NC_001491.2	+	1	CAGE_cluster_163	19666	20372	319719	19628	19686	***	77902.069581753	9	7463	TX_nov_ID_136	20385	16	ORF14.5	3`-short	ORF14	59	cluster_2	19659	19668	10	19663	19661	33
NC_001491.2	+	1	CAGE_cluster_163	19668	20387	201570	19628	19686	***	77902.069581753	9	17	TX_nov_ID_136	20385	16	ORF14.5	Splice-variant	ORF14	59	cluster_2	19659	19668	10	19663	19661	33
NC_001491.2	+	1	CAGE_cluster_163	19677	20385	231264	19628	19686	***	77902.069581753	9	1974	TX_nov_ID_136	20385	16	ORF14.5	5`-short	ORF14	59	cluster_3	19674	19686	13	19680	19675	34
NC_001491.2	+	1	CAGE_cluster_166	19808	20385	17072	19794	19826	**	720.758347602	3	14690	TX_nov_ID_157	20385	16	ORF14.5	5`-short	ORF14	33	cluster_1	19795	19826	32	19812	19795	35
NC_001491.2	+	1	CAGE_cluster_167	19867	20379	434166	19866	19886	**	1661.731472486	5	15057	TX_nov_ID_139	20385	16	ORF14.5	5`-short	ORF14	21	cluster_1	19866	19886	21	19876	19886	36
NC_001491.2	+	1	CAGE_cluster_17	2654	3632	140324	2650	2702	***	46784.823665342	9	186	TX_nov_ID_8	3632	1	ORF3	5`-long	ORF3	53	cluster_1	2650	2658	9	2654	2650	37
NC_001491.2	+	1	CAGE_cluster_17	2670	3621	403007	2650	2702	***	46784.823665342	9	2681	TX_nov_ID_8	3632	1	ORF3	3`-short	ORF3	53	cluster_2	2669	2673	5	2671	2669	38
NC_001491.2	+	1	CAGE_cluster_17	2671	3621	460017	2650	2702	***	46784.823665342	9	2681	TX_nov_ID_8	3632	1	ORF3	3`-short	ORF3	53	cluster_2	2669	2673	5	2671	2669	38
NC_001491.2	+	1	CAGE_cluster_17	2673	3634	493506	2650	2702	***	46784.823665342	9	79	TX_nov_ID_8	3632	1	ORF3	Splice-variant	ORF3	53	cluster_2	2669	2673	5	2671	2669	38
NC_001491.2	+	1	CAGE_cluster_17	2679	3645	511171	2650	2702	***	46784.823665342	9	9605	TX_nov_ID_8	3632	1	ORF3	3`-long	ORF3	53	cluster_3	2679	2702	24	2690	2702	39
NC_001491.2	+	1	CAGE_cluster_17	2680	3630	223445	2650	2702	***	46784.823665342	9	3436	TX_nov_ID_8	3632	1	ORF3	5`-short	ORF3	53	cluster_3	2679	2702	24	2690	2702	39
NC_001491.2	+	1	CAGE_cluster_17	2700	3631	248748	2650	2702	***	46784.823665342	9	2801	TX_nov_ID_8	3632	1	ORF3	5`-short	ORF3	53	cluster_3	2679	2702	24	2690	2702	39
NC_001491.2	+	1	CAGE_cluster_194	26557	27779	70757	26550	26594	**	2342.723223295	5	1759	TX_nov_ID_201	27784	21	ORF19	5`-short	ORF19	45	cluster_1	26550	26592	43	26571	26566	40
NC_001491.2	+	1	CAGE_cluster_194	26565	27781	190918	26550	26594	**	2342.723223295	5	423	TX_nov_ID_201	27784	21	ORF19	5`-short	ORF19	45	cluster_1	26550	26592	43	26571	26566	40
NC_001491.2	+	1	CAGE_cluster_194	26572	27781	480685	26550	26594	**	2342.723223295	5	423	TX_nov_ID_201	27784	21	ORF19	5`-short	ORF19	45	cluster_1	26550	26592	43	26571	26566	40
NC_001491.2	+	1	CAGE_cluster_194	26577	27781	414392	26550	26594	**	2342.723223295	5	423	TX_nov_ID_201	27784	21	ORF19	5`-short	ORF19	45	cluster_1	26550	26592	43	26571	26566	40
NC_001491.2	+	1	CAGE_cluster_194	26582	27784	163189	26550	26594	**	2342.723223295	5	219	TX_nov_ID_201	27784	21	ORF19	5`-short	ORF19	45	cluster_1	26550	26592	43	26571	26566	40
NC_001491.2	+	1	CAGE_cluster_194	26584	27777	371415	26550	26594	**	2342.723223295	5	410	TX_nov_ID_201	27784	21	ORF19	5`-short	ORF19	45	cluster_1	26550	26592	43	26571	26566	40
NC_001491.2	+	1	CAGE_cluster_194	26585	27768	239163	26550	26594	**	2342.723223295	5	20386	TX_nov_ID_201	27784	21	ORF19	c	ORF19	45	cluster_1	26550	26592	43	26571	26566	40
NC_001491.2	+	1	CAGE_cluster_195	26721	27776	264235	26715	26733	*	722.621305429	2	2881	TX_nov_ID_207	27784	21	ORF19	5`-short	ORF19	19	cluster_1	26715	26721	7	26718	26715	41
NC_001491.2	+	1	CAGE_cluster_196	27273	27776	135856	27257	27281	***	3596.028037044	8	1093	TX_nov_ID_206	27784	21	ORF19	5`-short	ORF19	25	cluster_1	27258	27281	24	27269	27258	42
NC_001491.2	+	1	CAGE_cluster_196	27274	27779	181222	27257	27281	***	3596.028037044	8	1209	TX_nov_ID_206	27784	21	ORF19	5`-short	ORF19	25	cluster_1	27258	27281	24	27269	27258	42
NC_001491.2	+	1	CAGE_cluster_2	940	3634	253590	940	952	**	2725.24101483	5	10175	TX_nov_ID_23	3632	1	ORF1-ORF2-ORF3-CX-Long	5`-long	ORF1	13	cluster_1	940	952	13	947	948	43
NC_001491.2	+	1	CAGE_cluster_2	944	1926	323424	940	952	**	2725.24101483	5	698	TX_nov_ID_3	1923	2	ORF1	5`-long	ORF1	13	cluster_1	940	952	13	947	948	44
NC_001491.2	+	1	CAGE_cluster_2	949	1926	442499	940	952	**	2725.24101483	5	698	TX_nov_ID_3	1923	2	ORF1	5`-long	ORF1	13	cluster_1	940	952	13	947	948	44
NC_001491.2	+	1	CAGE_cluster_21	3042	3634	354572	3040	3063	**	1304.354588422	4	193	TX_nov_ID_13	3632	1	ORF3	5`-short	ORF3	24	cluster_1	3040	3045	6	3042	3043	45
NC_001491.2	+	1	CAGE_cluster_21	3044	3626	183973	3040	3063	**	1304.354588422	4	27212	TX_nov_ID_13	3632	1	ORF3	5`-short	ORF3	24	cluster_1	3040	3045	6	3042	3043	45
NC_001491.2	+	1	CAGE_cluster_21	3054	3632	391969	3040	3063	**	1304.354588422	4	514	TX_nov_ID_13	3632	1	ORF3	5`-short	ORF3	24	cluster_2	3054	3055	2	3054	3055	46
NC_001491.2	+	1	CAGE_cluster_213	33143	36380	86920	33143	33149	**	2651.840341824	5	1265	TX_nov_ID_220	36380	27	ORF23	5`-long	ORF23	7	cluster_1	33143	33149	7	33146	33145	47
NC_001491.2	+	1	CAGE_cluster_213	33148	36365	188559	33143	33149	**	2651.840341824	5	1293	TX_nov_ID_220	36380	27	ORF23	~	ORF23	7	cluster_1	33143	33149	7	33146	33145	47
NC_001491.2	+	1	CAGE_cluster_214	33235	36380	305142	33216	33240	***	11862.110589904	8	722	TX_nov_ID_218	36380	27	ORF23	Splice-variant	ORF23	25	cluster_2	33234	33240	7	33237	33238	48
NC_001491.2	+	1	CAGE_cluster_214	33236	36363	381393	33216	33240	***	11862.110589904	8	8498	TX_nov_ID_218	36380	27	ORF23	3`-short	ORF23	25	cluster_2	33234	33240	7	33237	33238	48
NC_001491.2	+	1	CAGE_cluster_221	34585	36376	450787	34579	34596	*	466.852265231	2	14060	TX_nov_ID_239	36380	27	as18-canonic	x	ORF18	18	cluster_1	34579	34594	16	34587	34581	49
NC_001491.2	+	1	CAGE_cluster_221	34590	36380	466207	34579	34596	*	466.852265231	2	6709	TX_nov_ID_239	36380	27	as18-canonic	x	ORF18	18	cluster_1	34579	34594	16	34587	34581	49
NC_001491.2	+	1	CAGE_cluster_225	34921	36375	308485	34908	34930	*	735.958831431	2	28738	TX_nov_ID_223	36380	27	as18-canonic	x	ORF18	23	cluster_2	34921	34930	10	34925	34924	50
NC_001491.2	+	1	CAGE_cluster_225	34930	36376	323213	34908	34930	*	735.958831431	2	13318	TX_nov_ID_223	36380	27	as18-canonic	x	ORF18	23	cluster_2	34921	34930	10	34925	34924	50
NC_001491.2	+	1	CAGE_cluster_229	35176	36380	113890	35176	35192	**	670.497568528	3	822	TX_nov_ID_227	36380	27	ORF23.5	5`-long	ORF23	17	cluster_1	35176	35179	4	35178	35177	51
NC_001491.2	+	1	CAGE_cluster_236	35763	36372	308809	35748	35766	**	1660.197731002	5	3993	TX_nov_ID_216	36380	27	ORF23.5	5`-long	ORF23	19	cluster_1	35748	35766	19	35757	35755	52
NC_001491.2	+	1	CAGE_cluster_242	36084	36371	160833	36080	36094	**	1378.806419267	4	12666	TX_nov_ID_219	36380	27	ORF23.5	5`-short	ORF23	15	cluster_1	36080	36084	5	36082	36080	53
NC_001491.2	+	1	CAGE_cluster_242	36092	36376	144240	36080	36094	**	1378.806419267	4	14682	TX_nov_ID_219	36380	27	ORF23.5	5`-short	ORF23	15	cluster_2	36090	36094	5	36092	36094	54
NC_001491.2	+	1	CAGE_cluster_317	45800	46877	322893	45784	45803	***	1854.987590409	6	8157	TX_nov_ID_251	46890	30	ORF24.7	3`-short	ORF24	20	cluster_2	45800	45800	1	45800	45800	55
NC_001491.2	+	1	CAGE_cluster_318	45838	46890	524538	45832	45840	***	853.930812869	3	1133	TX_nov_ID_262	46890	30	ORF24.7	5`-short	ORF24	9	cluster_1	45832	45840	9	45836	45839	56
NC_001491.2	+	1	CAGE_cluster_335	48529	51694	342719	48529	48568	***	2831.970866237	6	11287	TX_nov_ID_300	51693	36	ORF28-ORF29-PC-Short	o	ORF28	40	cluster_1	48529	48540	12	48534	48532	57
NC_001491.2	+	1	CAGE_cluster_335	48531	51694	144870	48529	48568	***	2831.970866237	6	11287	TX_nov_ID_300	51693	36	ORF28-ORF29-PC-Short	5`-long	ORF28	40	cluster_1	48529	48540	12	48534	48532	57
NC_001491.2	+	1	CAGE_cluster_335	48533	51693	273286	48529	48568	***	2831.970866237	6	3361	TX_nov_ID_300	51693	36	ORF28-ORF29-PC-Short	5`-long	ORF28	40	cluster_1	48529	48540	12	48534	48532	57
NC_001491.2	+	1	CAGE_cluster_343	50452	51692	157999	50446	50477	***	6536.845038183	9	2682	TX_nov_ID_297	51693	36	ORF29	5`-long	ORF29	32	cluster_1	50447	50452	6	50450	50447	58
NC_001491.2	+	1	CAGE_cluster_344	50516	51693	523001	50516	50546	***	6374.338471537	8	597	TX_nov_ID_298	51693	36	ORF29	5`-long	ORF29	31	cluster_1	50516	50545	30	50529	50521	59
NC_001491.2	+	1	CAGE_cluster_344	50524	51694	310016	50516	50546	***	6374.338471537	8	2071	TX_nov_ID_298	51693	36	ORF29	5`-long	ORF29	31	cluster_1	50516	50545	30	50529	50521	59
NC_001491.2	+	1	CAGE_cluster_344	50536	51693	16211	50516	50546	***	6374.338471537	8	597	TX_nov_ID_298	51693	36	ORF29	5`-long	ORF29	31	cluster_1	50516	50545	30	50529	50521	59
NC_001491.2	+	1	CAGE_cluster_345	50571	51671	364780	50570	50578	***	109215.339810069	9	7119	TX_nov_ID_284	51686	34	ORF29	3`-short	ORF29	9	cluster_1	50570	50578	9	50574	50573	60
NC_001491.2	+	1	CAGE_cluster_347	50739	51690	508453	50739	50759	**	952.94166073	4	6090	TX_nov_ID_303	51693	36	ORF29	5`-short	ORF29	21	cluster_1	50739	50759	21	50749	50748	61
NC_001491.2	+	1	CAGE_cluster_347	50743	51675	420314	50739	50759	**	952.94166073	4	13865	TX_nov_ID_290	51686	34	ORF29	~	ORF29	21	cluster_1	50739	50759	21	50749	50748	62
NC_001491.2	+	1	CAGE_cluster_347	50745	51693	425985	50739	50759	**	952.94166073	4	752	TX_nov_ID_303	51693	36	ORF29	5`-short	ORF29	21	cluster_1	50739	50759	21	50749	50748	61
NC_001491.2	+	1	CAGE_cluster_347	50750	51694	8	50739	50759	**	952.94166073	4	3733	TX_nov_ID_303	51693	36	ORF29	o	ORF29	21	cluster_1	50739	50759	21	50749	50748	61
NC_001491.2	+	1	CAGE_cluster_347	50757	51694	382719	50739	50759	**	952.94166073	4	3733	TX_nov_ID_303	51693	36	ORF29	5`-short	ORF29	21	cluster_1	50739	50759	21	50749	50748	61
NC_001491.2	+	1	CAGE_cluster_353	51143	51690	481784	51136	51162	***	2080.66597457	6	1092	TX_nov_ID_299	51693	36	ORF29	5`-short	ORF29	27	cluster_1	51136	51161	26	51149	51148	63
NC_001491.2	+	1	CAGE_cluster_353	51151	51693	416471	51136	51162	***	2080.66597457	6	613	TX_nov_ID_299	51693	36	ORF29	o	ORF29	27	cluster_1	51136	51161	26	51149	51148	63
NC_001491.2	+	1	CAGE_cluster_356	51284	51678	167495	51283	51300	*	395.491398062	2	26620	TX_nov_ID_291	51686	34	ORF30.5	x	ORF30	18	cluster_1	51283	51285	3	51284	51283	64
NC_001491.2	+	1	CAGE_cluster_356	51285	51691	436121	51283	51300	*	395.491398062	2	12705	TX_nov_ID_312	51693	36	ORF30.5	x	ORF30	18	cluster_1	51283	51285	3	51284	51283	65
NC_001491.2	+	1	CAGE_cluster_373	55251	59180	372347	55249	55257	***	4585.831573796	7	1188	TX_nov_ID_334	59182	35	ORF31	5`-long	ORF31	9	cluster_1	55249	55257	9	55253	55255	66
NC_001491.2	+	1	CAGE_cluster_374	55308	59179	209534	55308	55358	***	296182.372347441	9	3756	TX_nov_ID_318	59182	35	ORF31	5`-long	ORF31	51	cluster_1	55308	55327	20	55320	55322	67
NC_001491.2	+	1	CAGE_cluster_374	55311	59179	417761	55308	55358	***	296182.372347441	9	3756	TX_nov_ID_318	59182	35	ORF31	5`-long	ORF31	51	cluster_1	55308	55327	20	55320	55322	67
NC_001491.2	+	1	CAGE_cluster_374	55326	59180	186075	55308	55358	***	296182.372347441	9	2201	TX_nov_ID_318	59182	35	ORF31	Splice-variant	ORF31	51	cluster_1	55308	55327	20	55320	55322	67
NC_001491.2	+	1	CAGE_cluster_374	55349	59186	402519	55308	55358	***	296182.372347441	9	27490	TX_nov_ID_318	59182	35	ORF31	5`-short	ORF31	51	cluster_2	55338	55352	15	55345	55342	68
NC_001491.2	+	1	CAGE_cluster_374	55358	59180	103995	55308	55358	***	296182.372347441	9	2201	TX_nov_ID_318	59182	35	ORF31	5`-short	ORF31	51	cluster_3	55358	55358	1	55358	55358	69
NC_001491.2	+	1	CAGE_cluster_377	55534	59182	392017	55530	55541	**	988.027940531	4	3744	TX_nov_ID_324	59182	35	ORF31	5`-short	ORF31	12	cluster_1	55530	55541	12	55534	55530	70
NC_001491.2	+	1	CAGE_cluster_377	55541	59177	290015	55530	55541	**	988.027940531	4	32151	TX_nov_ID_324	59182	35	ORF31	5`-short	ORF31	12	cluster_1	55530	55541	12	55534	55530	70
NC_001491.2	+	1	CAGE_cluster_384	56267	59180	400511	56266	56283	**	458.333536681	3	12033	TX_nov_ID_339	59182	35	ORF31	5`-short	ORF31	18	cluster_1	56267	56268	2	56268	56267	71
NC_001491.2	+	1	CAGE_cluster_384	56268	59180	256485	56266	56283	**	458.333536681	3	12033	TX_nov_ID_339	59182	35	ORF31	5`-short	ORF31	18	cluster_1	56267	56268	2	56268	56267	71
NC_001491.2	+	1	CAGE_cluster_384	56276	59182	185988	56266	56283	**	458.333536681	3	26672	TX_nov_ID_339	59182	35	ORF31	o	ORF31	18	cluster_2	56276	56283	8	56280	56283	72
NC_001491.2	+	1	CAGE_cluster_384	56281	59180	91419	56266	56283	**	458.333536681	3	12033	TX_nov_ID_339	59182	35	ORF31	5`-short	ORF31	18	cluster_2	56276	56283	8	56280	56283	72
NC_001491.2	+	1	CAGE_cluster_384	56282	59180	525301	56266	56283	**	458.333536681	3	12033	TX_nov_ID_339	59182	35	ORF31	o	ORF31	18	cluster_2	56276	56283	8	56280	56283	72
