seqnames	start	end	strand	TR_ID	exon_combination	prime3	prime5	exon_rank	exon_ID	TR_start	TR_end
NC_001491.2	19661	19804	+	75	19661-19804::+	19804	19661	1	77	19661	19804
NC_001491.2	50576	50719	+	76	50576-50719::+	50719	50576	1	78	50576	50719
NC_001491.2	78588	78731	+	77	78588-78731::+	78731	78588	1	79	78588	78731
NC_001491.2	45483	45625	+	78	45483-45625::+	45625	45483	1	80	45483	45625
NC_001491.2	61981	62124	-	79	61981-62124::-	61981	62124	1	81	61981	62124
NC_001491.2	131515	131658	+	80	131515-131658::+	131658	131515	1	82	131515	131658
NC_001491.2	1252	1395	+	81	1252-1395::+	1395	1252	1	83	1252	1395
NC_001491.2	71119	71262	+	82	71119-71262::+	71262	71119	1	84	71119	71262
NC_001491.2	134346	134487	+	83	134346-134487::+	134487	134346	1	85	134346	134487
NC_001491.2	74041	74183	-	84	74041-74183::-	74041	74183	1	86	74041	74183
NC_001491.2	129051	129194	+	85	129051-129194::+	129194	129051	1	87	129051	129194
NC_001491.2	81120	81263	-	86	81120-81263::-	81120	81263	1	88	81120	81263
NC_001491.2	59209	59351	+	87	59209-59351::+	59351	59209	1	89	59209	59351
NC_001491.2	11990	12126	+	88	11990-12126::+	12126	11990	1	90	11990	12126
NC_001491.2	31202	31344	-	89	31202-31344::-	31202	31344	1	91	31202	31344
NC_001491.2	94405	94548	-	90	94405-94548::-	94405	94548	1	92	94405	94548
NC_001491.2	74720	74863	+	91	74720-74863::+	74863	74720	1	93	74720	74863
NC_001491.2	91182	91325	-	92	91182-91325::-	91182	91325	1	94	91182	91325
NC_001491.2	28101	28242	-	93	28101-28242::-	28101	28242	1	95	28101	28242
NC_001491.2	17982	18124	+	94	17982-18124::+	18124	17982	1	96	17982	18124
NC_001491.2	4947	5088	-	95	4947-5088::-	4947	5088	1	97	4947	5088
NC_001491.2	125195	125335	-	96	125195-125335::-	125195	125335	1	98	125195	125335
NC_001491.2	52475	52618	-	97	52475-52618::-	52475	52618	1	99	52475	52618
NC_001491.2	12119	12260	-	98	12119-12260::-	12119	12260	1	100	12119	12260
NC_001491.2	66315	66458	+	99	66315-66458::+	66458	66315	1	101	66315	66458
NC_001491.2	10200	10344	-	100	10200-10344::-	10200	10344	1	102	10200	10344
NC_001491.2	14364	14507	+	101	14364-14507::+	14507	14364	1	103	14364	14507
NC_001491.2	74040	74183	-	102	74040-74183::-	74040	74183	1	104	74040	74183
NC_001491.2	106532	106672	-	103	106532-106672::-	106532	106672	1	105	106532	106672
NC_001491.2	47231	47374	-	104	47231-47374::-	47231	47374	1	106	47231	47374
NC_001491.2	64744	64887	+	105	64744-64887::+	64887	64744	1	107	64744	64887
NC_001491.2	17985	18128	+	106	17985-18128::+	18128	17985	1	108	17985	18128
NC_001491.2	12760	12902	+	107	12760-12902::+	12902	12760	1	109	12760	12902
NC_001491.2	125195	125340	-	108	125195-125340::-	125195	125340	1	110	125195	125340
NC_001491.2	136583	136726	+	109	136583-136726::+	136726	136583	1	111	136583	136726
NC_001491.2	33238	33379	+	110	33238-33379::+	33379	33238	1	112	33238	33379
NC_001491.2	25628	25771	-	111	25628-25771::-	25628	25771	1	113	25628	25771
NC_001491.2	89189	89332	+	112	89189-89332::+	89332	89189	1	114	89189	89332
NC_001491.2	124330	124473	-	113	124330-124473::-	124330	124473	1	115	124330	124473
NC_001491.2	80250	80392	+	114	80250-80392::+	80392	80250	1	116	80250	80392
NC_001491.2	2669	2810	+	115	2669-2810::+	2810	2669	1	117	2669	2810
NC_001491.2	122821	122964	+	116	122821-122964::+	122964	122821	1	118	122821	122964
NC_001491.2	5809	5952	-	117	5809-5952::-	5809	5952	1	119	5809	5952
NC_001491.2	108174	108317	-	118	108174-108317::-	108174	108317	1	120	108174	108317
NC_001491.2	77593	77736	+	119	77593-77736::+	77736	77593	1	121	77593	77736
NC_001491.2	123360	123504	-	120	123360-123504::-	123360	123504	1	122	123360	123504
NC_001491.2	48103	48247	-	121	48103-48247::-	48103	48247	1	123	48103	48247
NC_001491.2	12471	12613	+	122	12471-12613::+	12613	12471	1	124	12471	12613
NC_001491.2	61310	61453	+	123	61310-61453::+	61453	61310	1	125	61310	61453
NC_001491.2	32909	33051	-	124	32909-33051::-	32909	33051	1	126	32909	33051
NC_001491.2	15083	15225	+	125	15083-15225::+	15225	15083	1	127	15083	15225
NC_001491.2	7112	7253	+	126	7112-7253::+	7253	7112	1	128	7112	7253
NC_001491.2	131507	131652	+	127	131507-131652::+	131652	131507	1	129	131507	131652
NC_001491.2	61312	61451	+	128	61312-61451::+	61451	61312	1	130	61312	61451
NC_001491.2	2668	2813	+	129	2668-2813::+	2813	2668	1	131	2668	2813
NC_001491.2	81902	82045	+	130	81902-82045::+	82045	81902	1	132	81902	82045
NC_001491.2	77110	77251	-	131	77110-77251::-	77110	77251	1	133	77110	77251
NC_001491.2	32909	33053	-	132	32909-33053::-	32909	33053	1	134	32909	33053
NC_001491.2	68433	68575	-	133	68433-68575::-	68433	68575	1	135	68433	68575
NC_001491.2	77593	77734	+	134	77593-77734::+	77734	77593	1	136	77593	77734
NC_001491.2	126340	126482	+	135	126340-126482::+	126482	126340	1	137	126340	126482
NC_001491.2	119443	119587	+	136	119443-119587::+	119587	119443	1	138	119443	119587
NC_001491.2	121002	121145	+	137	121002-121145::+	121145	121002	1	139	121002	121145
NC_001491.2	47231	47375	-	138	47231-47375::-	47231	47375	1	140	47231	47375
NC_001491.2	16277	16421	+	139	16277-16421::+	16421	16277	1	141	16277	16421
NC_001491.2	64684	64830	+	140	64684-64830::+	64830	64684	1	142	64684	64830
NC_001491.2	64487	64630	+	141	64487-64630::+	64630	64487	1	143	64487	64630
NC_001491.2	127637	127779	+	142	127637-127779::+	127779	127637	1	144	127637	127779
NC_001491.2	29178	29321	-	143	29178-29321::-	29178	29321	1	145	29178	29321
NC_001491.2	111890	112033	-	144	111890-112033::-	111890	112033	1	146	111890	112033
NC_001491.2	121006	121068	+	145	121006-121068::+, 121287-121367::+	121068	121006	1	147	121006	121367
NC_001491.2	121287	121367	+	145	121006-121068::+, 121287-121367::+	121367	121287	2	148	121006	121367
NC_001491.2	36498	36641	+	146	36498-36641::+	36641	36498	1	149	36498	36641
NC_001491.2	82322	82465	-	147	82322-82465::-	82322	82465	1	150	82322	82465
NC_001491.2	45637	45781	+	148	45637-45781::+	45781	45637	1	151	45637	45781
NC_001491.2	54695	54838	-	149	54695-54838::-	54695	54838	1	152	54695	54838
NC_001491.2	28841	28983	-	150	28841-28983::-	28841	28983	1	153	28841	28983
NC_001491.2	81290	81432	+	151	81290-81432::+	81432	81290	1	154	81290	81432
NC_001491.2	2397	2511	-	152	2397-2511::-	2397	2511	1	155	2397	2511
NC_001491.2	117529	117674	-	153	117529-117674::-	117529	117674	1	156	117529	117674
NC_001491.2	134347	134487	+	154	134347-134487::+	134487	134347	1	157	134347	134487
NC_001491.2	108590	108735	-	155	108590-108735::-	108590	108735	1	158	108590	108735
NC_001491.2	2399	2538	-	156	2399-2538::-	2399	2538	1	159	2399	2538
NC_001491.2	132880	133023	+	157	132880-133023::+	133023	132880	1	160	132880	133023
NC_001491.2	45486	45629	+	158	45486-45629::+	45629	45486	1	161	45486	45629
NC_001491.2	126338	126482	+	159	126338-126482::+	126482	126338	1	162	126338	126482
NC_001491.2	108173	108318	-	160	108173-108318::-	108173	108318	1	163	108173	108318
NC_001491.2	92409	92553	+	161	92409-92553::+	92553	92409	1	164	92409	92553
NC_001491.2	46031	46175	-	162	46031-46175::-	46031	46175	1	165	46031	46175
NC_001491.2	17984	18125	+	163	17984-18125::+	18125	17984	1	166	17984	18125
NC_001491.2	90722	90865	+	164	90722-90865::+	90865	90722	1	167	90722	90865
NC_001491.2	69780	69919	+	165	69780-69919::+	69919	69780	1	168	69780	69919
NC_001491.2	36500	36643	+	166	36500-36643::+	36643	36500	1	169	36500	36643
NC_001491.2	62794	62936	+	167	62794-62936::+	62936	62794	1	170	62794	62936
NC_001491.2	48921	49064	+	168	48921-49064::+	49064	48921	1	171	48921	49064
NC_001491.2	17984	18127	+	169	17984-18127::+	18127	17984	1	172	17984	18127
NC_001491.2	20964	21107	-	170	20964-21107::-	20964	21107	1	173	20964	21107
NC_001491.2	81902	82043	+	171	81902-82043::+	82043	81902	1	174	81902	82043
NC_001491.2	49848	49991	-	172	49848-49991::-	49848	49991	1	175	49848	49991
NC_001491.2	25581	25723	-	173	25581-25723::-	25581	25723	1	176	25581	25723
NC_001491.2	7257	7400	-	174	7257-7400::-	7257	7400	1	177	7257	7400
NC_001491.2	80950	81093	+	175	80950-81093::+	81093	80950	1	178	80950	81093
NC_001491.2	18006	18128	+	176	18006-18128::+	18128	18006	1	179	18006	18128
NC_001491.2	127659	127776	+	177	127659-127776::+	127776	127659	1	180	127659	127776
NC_001491.2	45086	45228	+	178	45086-45228::+	45228	45086	1	181	45086	45228
NC_001491.2	32910	33053	-	179	32910-33053::-	32910	33053	1	182	32910	33053
NC_001491.2	96456	96599	+	180	96456-96599::+	96599	96456	1	183	96456	96599
NC_001491.2	6946	7077	-	181	6946-7077::-	6946	7077	1	184	6946	7077
NC_001491.2	90332	90475	-	182	90332-90475::-	90332	90475	1	185	90332	90475
NC_001491.2	121035	121068	+	183	121035-121068::+, 121287-121363::+	121068	121035	1	186	121035	121363
NC_001491.2	121287	121363	+	183	121035-121068::+, 121287-121363::+	121363	121287	2	62	121035	121363
NC_001491.2	7260	7407	-	184	7260-7407::-	7260	7407	1	187	7260	7407
NC_001491.2	121003	121068	+	185	121003-121068::+, 121287-121360::+	121068	121003	1	61	121003	121360
NC_001491.2	121287	121360	+	185	121003-121068::+, 121287-121360::+	121360	121287	2	188	121003	121360
NC_001491.2	11071	11214	-	186	11071-11214::-	11071	11214	1	189	11071	11214
NC_001491.2	3355	3498	+	187	3355-3498::+	3498	3355	1	190	3355	3498
NC_001491.2	13559	13700	+	188	13559-13700::+	13700	13559	1	191	13559	13700
NC_001491.2	81902	82046	+	189	81902-82046::+	82046	81902	1	192	81902	82046
NC_001491.2	121783	121926	+	190	121783-121926::+	121926	121783	1	193	121783	121926
NC_001491.2	127633	127779	+	191	127633-127779::+	127779	127633	1	194	127633	127779
NC_001491.2	2669	2813	+	192	2669-2813::+	2813	2669	1	195	2669	2813
NC_001491.2	21066	21209	-	193	21066-21209::-	21066	21209	1	196	21066	21209
NC_001491.2	17697	17839	+	194	17697-17839::+	17839	17697	1	197	17697	17839
NC_001491.2	15236	15380	+	195	15236-15380::+	15380	15236	1	198	15236	15380
NC_001491.2	117053	117195	+	196	117053-117195::+	117195	117053	1	199	117053	117195
NC_001491.2	88869	89010	-	197	88869-89010::-	88869	89010	1	200	88869	89010
NC_001491.2	101610	101753	+	198	101610-101753::+	101753	101610	1	201	101610	101753
NC_001491.2	7260	7402	-	199	7260-7402::-	7260	7402	1	202	7260	7402
NC_001491.2	33143	33285	+	200	33143-33285::+	33285	33143	1	203	33143	33285
NC_001491.2	117527	117668	-	201	117527-117668::-	117527	117668	1	204	117527	117668
NC_001491.2	137820	137967	+	202	137820-137967::+	137967	137820	1	205	137820	137967
NC_001491.2	74045	74190	-	203	74045-74190::-	74045	74190	1	206	74045	74190
NC_001491.2	76510	76657	+	204	76510-76657::+	76657	76510	1	207	76510	76657
NC_001491.2	119535	119678	+	205	119535-119678::+	119678	119535	1	208	119535	119678
NC_001491.2	88429	88572	+	206	88429-88572::+	88572	88429	1	209	88429	88572
NC_001491.2	32911	33049	-	207	32911-33049::-	32911	33049	1	210	32911	33049
NC_001491.2	127631	127774	+	208	127631-127774::+	127774	127631	1	211	127631	127774
NC_001491.2	15085	15222	+	209	15085-15222::+	15222	15085	1	212	15085	15222
NC_001491.2	84819	84962	+	210	84819-84962::+	84962	84819	1	213	84819	84962
NC_001491.2	134347	134490	+	211	134347-134490::+	134490	134347	1	214	134347	134490
NC_001491.2	64488	64630	+	212	64488-64630::+	64630	64488	1	215	64488	64630
NC_001491.2	92597	92740	+	213	92597-92740::+	92740	92597	1	216	92597	92740
NC_001491.2	2693	2812	+	214	2693-2812::+	2812	2693	1	217	2693	2812
NC_001491.2	55314	55456	+	215	55314-55456::+	55456	55314	1	218	55314	55456
NC_001491.2	75195	75341	+	216	75195-75341::+	75341	75195	1	219	75195	75341
NC_001491.2	132676	132820	+	217	132676-132820::+	132820	132676	1	220	132676	132820
NC_001491.2	90683	90826	+	218	90683-90826::+	90826	90683	1	221	90683	90826
NC_001491.2	92413	92556	+	219	92413-92556::+	92556	92413	1	222	92413	92556
NC_001491.2	2532	2675	-	220	2532-2675::-	2532	2675	1	223	2532	2675
NC_001491.2	81290	81433	+	221	81290-81433::+	81433	81290	1	224	81290	81433
NC_001491.2	31711	31854	-	222	31711-31854::-	31711	31854	1	225	31711	31854
NC_001491.2	2395	2538	-	223	2395-2538::-	2395	2538	1	226	2395	2538
NC_001491.2	38392	38536	+	224	38392-38536::+	38536	38392	1	227	38392	38536
NC_001491.2	66284	66428	-	225	66284-66428::-	66284	66428	1	228	66284	66428
NC_001491.2	1254	1359	+	226	1254-1359::+	1359	1254	1	229	1254	1359
NC_001491.2	124725	124872	-	227	124725-124872::-	124725	124872	1	230	124725	124872
NC_001491.2	100318	100462	-	228	100318-100462::-	100318	100462	1	231	100318	100462
NC_001491.2	15238	15381	+	229	15238-15381::+	15381	15238	1	232	15238	15381
NC_001491.2	135564	135685	+	230	135564-135685::+	135685	135564	1	233	135564	135685
NC_001491.2	55049	55192	-	231	55049-55192::-	55049	55192	1	234	55049	55192
NC_001491.2	2533	2673	-	232	2533-2673::-	2533	2673	1	235	2533	2673
NC_001491.2	89351	89494	+	233	89351-89494::+	89494	89351	1	236	89351	89494
NC_001491.2	48758	48900	-	234	48758-48900::-	48758	48900	1	237	48758	48900
NC_001491.2	108592	108732	-	235	108592-108732::-	108592	108732	1	238	108592	108732
NC_001491.2	34797	34940	+	236	34797-34940::+	34940	34797	1	239	34797	34940
NC_001491.2	10298	10442	-	237	10298-10442::-	10298	10442	1	240	10298	10442
NC_001491.2	108103	108246	-	238	108103-108246::-	108103	108246	1	241	108103	108246
NC_001491.2	10880	11002	+	239	10880-11002::+	11002	10880	1	242	10880	11002
NC_001491.2	134945	135090	+	240	134945-135090::+	135090	134945	1	243	134945	135090
NC_001491.2	26127	26270	+	241	26127-26270::+	26270	26127	1	244	26127	26270
NC_001491.2	90368	90511	-	242	90368-90511::-	90368	90511	1	245	90368	90511
NC_001491.2	2530	2672	-	243	2530-2672::-	2530	2672	1	246	2530	2672
NC_001491.2	17981	18123	+	244	17981-18123::+	18123	17981	1	247	17981	18123
NC_001491.2	126340	126485	+	245	126340-126485::+	126485	126340	1	248	126340	126485
NC_001491.2	66118	66261	-	246	66118-66261::-	66118	66261	1	249	66118	66261
NC_001491.2	135821	135964	-	247	135821-135964::-	135821	135964	1	250	135821	135964
NC_001491.2	12463	12610	+	248	12463-12610::+	12610	12463	1	251	12463	12610
NC_001491.2	2561	2674	-	249	2561-2674::-	2561	2674	1	252	2561	2674
NC_001491.2	4169	4312	-	250	4169-4312::-	4169	4312	1	253	4169	4312
NC_001491.2	15235	15378	+	251	15235-15378::+	15378	15235	1	254	15235	15378
NC_001491.2	2531	2674	-	252	2531-2674::-	2531	2674	1	255	2531	2674
NC_001491.2	48143	48284	-	253	48143-48284::-	48143	48284	1	256	48143	48284
NC_001491.2	81897	82044	+	254	81897-82044::+	82044	81897	1	257	81897	82044
NC_001491.2	129758	129896	+	255	129758-129896::+	129896	129758	1	258	129758	129896
NC_001491.2	94352	94497	+	256	94352-94497::+	94497	94352	1	259	94352	94497
NC_001491.2	94402	94545	-	257	94402-94545::-	94402	94545	1	260	94402	94545
NC_001491.2	46325	46468	+	258	46325-46468::+	46468	46325	1	261	46325	46468
NC_001491.2	18487	18630	+	259	18487-18630::+	18630	18487	1	262	18487	18630
NC_001491.2	2669	2812	+	260	2669-2812::+	2812	2669	1	263	2669	2812
NC_001491.2	69806	69923	+	261	69806-69923::+	69923	69806	1	264	69806	69923
NC_001491.2	32909	33046	-	262	32909-33046::-	32909	33046	1	265	32909	33046
NC_001491.2	111893	112036	-	263	111893-112036::-	111893	112036	1	266	111893	112036
NC_001491.2	81959	82088	+	264	81959-82088::+	82088	81959	1	267	81959	82088
NC_001491.2	77612	77734	+	265	77612-77734::+	77734	77612	1	268	77612	77734
NC_001491.2	69431	69574	-	266	69431-69574::-	69431	69574	1	269	69431	69574
NC_001491.2	79149	79266	+	267	79149-79266::+	79266	79149	1	270	79149	79266
NC_001491.2	125192	125315	-	268	125192-125315::-	125192	125315	1	271	125192	125315
NC_001491.2	77596	77734	+	269	77596-77734::+	77734	77596	1	272	77596	77734
NC_001491.2	55341	55465	+	270	55341-55465::+	55465	55341	1	273	55341	55465
NC_001491.2	125202	125335	-	271	125202-125335::-	125202	125335	1	274	125202	125335
NC_001491.2	36504	36642	+	272	36504-36642::+	36642	36504	1	275	36504	36642
NC_001491.2	44543	44686	+	273	44543-44686::+	44686	44543	1	276	44543	44686
NC_001491.2	135565	135705	+	274	135565-135705::+	135705	135565	1	277	135565	135705
NC_001491.2	125193	125336	-	275	125193-125336::-	125193	125336	1	278	125193	125336
NC_001491.2	66115	66258	-	276	66115-66258::-	66115	66258	1	279	66115	66258
NC_001491.2	132859	133001	+	277	132859-133001::+	133001	132859	1	280	132859	133001
NC_001491.2	90635	90778	+	278	90635-90778::+	90778	90635	1	281	90635	90778
NC_001491.2	126216	126358	-	279	126216-126358::-	126216	126358	1	282	126216	126358
NC_001491.2	81902	82044	+	280	81902-82044::+	82044	81902	1	283	81902	82044
NC_001491.2	2780	2923	+	281	2780-2923::+	2923	2780	1	284	2780	2923
NC_001491.2	119149	119292	-	282	119149-119292::-	119149	119292	1	285	119149	119292
NC_001491.2	81105	81251	+	283	81105-81251::+	81251	81105	1	286	81105	81251
NC_001491.2	135565	135704	+	284	135565-135704::+	135704	135565	1	287	135565	135704
NC_001491.2	90589	90732	+	285	90589-90732::+	90732	90589	1	288	90589	90732
NC_001491.2	84366	84507	+	286	84366-84507::+	84507	84366	1	289	84366	84507
NC_001491.2	10380	10523	+	287	10380-10523::+	10523	10380	1	290	10380	10523
NC_001491.2	2529	2672	-	288	2529-2672::-	2529	2672	1	291	2529	2672
NC_001491.2	76605	76748	+	289	76605-76748::+	76748	76605	1	292	76605	76748
NC_001491.2	68911	69057	-	290	68911-69057::-	68911	69057	1	293	68911	69057
NC_001491.2	19662	19805	+	291	19662-19805::+	19805	19662	1	294	19662	19805
NC_001491.2	64490	64631	+	292	64490-64631::+	64631	64490	1	295	64490	64631
NC_001491.2	106136	106278	-	293	106136-106278::-	106136	106278	1	296	106136	106278
NC_001491.2	31203	31346	-	294	31203-31346::-	31203	31346	1	297	31203	31346
NC_001491.2	55318	55461	+	295	55318-55461::+	55461	55318	1	298	55318	55461
NC_001491.2	50538	50681	+	296	50538-50681::+	50681	50538	1	299	50538	50681
NC_001491.2	121008	121068	+	297	121008-121068::+, 121287-121367::+	121068	121008	1	300	121008	121367
NC_001491.2	121287	121367	+	297	121008-121068::+, 121287-121367::+	121367	121287	2	148	121008	121367
NC_001491.2	55322	55463	+	298	55322-55463::+	55463	55322	1	301	55322	55463
NC_001491.2	127636	127776	+	299	127636-127776::+	127776	127636	1	302	127636	127776
NC_001491.2	108852	108995	+	300	108852-108995::+	108995	108852	1	303	108852	108995
NC_001491.2	2673	2814	+	301	2673-2814::+	2814	2673	1	304	2673	2814
NC_001491.2	55322	55466	+	302	55322-55466::+	55466	55322	1	305	55322	55466
NC_001491.2	97232	97376	+	303	97232-97376::+	97376	97232	1	306	97232	97376
NC_001491.2	58091	58238	+	304	58091-58238::+	58238	58091	1	307	58091	58238
NC_001491.2	95968	96111	+	305	95968-96111::+	96111	95968	1	308	95968	96111
NC_001491.2	88428	88571	+	306	88428-88571::+	88571	88428	1	309	88428	88571
NC_001491.2	63492	63635	+	307	63492-63635::+	63635	63492	1	310	63492	63635
NC_001491.2	124741	124884	-	308	124741-124884::-	124741	124884	1	311	124741	124884
NC_001491.2	77362	77506	+	309	77362-77506::+	77506	77362	1	312	77362	77506
NC_001491.2	126336	126480	+	310	126336-126480::+	126480	126336	1	313	126336	126480
NC_001491.2	31217	31364	-	311	31217-31364::-	31217	31364	1	314	31217	31364
NC_001491.2	92378	92521	+	312	92378-92521::+	92521	92378	1	315	92378	92521
NC_001491.2	94663	94806	-	313	94663-94806::-	94663	94806	1	316	94663	94806
NC_001491.2	76512	76656	+	314	76512-76656::+	76656	76512	1	317	76512	76656
NC_001491.2	59684	59828	-	315	59684-59828::-	59684	59828	1	318	59684	59828
NC_001491.2	86364	86505	+	316	86364-86505::+	86505	86364	1	319	86364	86505
NC_001491.2	74042	74185	-	317	74042-74185::-	74042	74185	1	320	74042	74185
NC_001491.2	81902	82048	+	318	81902-82048::+	82048	81902	1	321	81902	82048
NC_001491.2	11990	12131	+	319	11990-12131::+	12131	11990	1	322	11990	12131
NC_001491.2	12119	12262	-	320	12119-12262::-	12119	12262	1	323	12119	12262
