TR_ID	seqnames	strand	TR_start	TR_end	exon_combination	1	2	sample	count
11	NC_001491.2	+	94799	94942	94799-94942::+	11		EHV1_cage_A	1
12	NC_001491.2	-	107383	107528	107383-107528::-	12		EHV1_cage_A	1
13	NC_001491.2	+	51422	51567	51422-51567::+	13		EHV1_cage_B	1
14	NC_001491.2	+	64689	64832	64689-64832::+	14		EHV1_cage_B	1
15	NC_001491.2	+	61312	61455	61312-61455::+	15		EHV1_cage_C	24
15	NC_001491.2	+	61312	61455	61312-61455::+	15		EHV1_cage_A	23
15	NC_001491.2	+	61312	61455	61312-61455::+	15		EHV1_cage_B	23
16	NC_001491.2	+	15084	15228	15084-15228::+	16		EHV1_cage_A	1
16	NC_001491.2	+	15084	15228	15084-15228::+	16		EHV1_cage_C	1
17	NC_001491.2	+	71118	71258	71118-71258::+	17		EHV1_cage_A	1
18	NC_001491.2	-	19546	19689	19546-19689::-	18		EHV1_cage_A	1
19	NC_001491.2	+	12468	12611	12468-12611::+	19		EHV1_cage_C	15
19	NC_001491.2	+	12468	12611	12468-12611::+	19		EHV1_cage_B	12
19	NC_001491.2	+	12468	12611	12468-12611::+	19		EHV1_cage_A	7
20	NC_001491.2	-	48142	48284	48142-48284::-	20		EHV1_cage_C	39
20	NC_001491.2	-	48142	48284	48142-48284::-	20		EHV1_cage_B	40
20	NC_001491.2	-	48142	48284	48142-48284::-	20		EHV1_cage_A	15
21	NC_001491.2	-	76218	76361	76218-76361::-	21		EHV1_cage_B	4
21	NC_001491.2	-	76218	76361	76218-76361::-	21		EHV1_cage_C	1
22	NC_001491.2	-	88868	89011	88868-89011::-	22		EHV1_cage_A	1
23	NC_001491.2	-	2397	2540	2397-2540::-	23		EHV1_cage_A	9
23	NC_001491.2	-	2397	2540	2397-2540::-	23		EHV1_cage_C	16
23	NC_001491.2	-	2397	2540	2397-2540::-	23		EHV1_cage_B	8
24	NC_001491.2	-	25626	25769	25626-25769::-	24		EHV1_cage_C	73
24	NC_001491.2	-	25626	25769	25626-25769::-	24		EHV1_cage_B	43
24	NC_001491.2	-	25626	25769	25626-25769::-	24		EHV1_cage_A	32
25	NC_001491.2	-	124802	124945	124802-124945::-	25		EHV1_cage_C	2
26	NC_001491.2	+	86362	86505	86362-86505::+	26		EHV1_cage_C	14
26	NC_001491.2	+	86362	86505	86362-86505::+	26		EHV1_cage_A	14
26	NC_001491.2	+	86362	86505	86362-86505::+	26		EHV1_cage_B	8
27	NC_001491.2	+	102278	102419	102278-102419::+	27		EHV1_cage_C	1
28	NC_001491.2	-	106532	106677	106532-106677::-	28		EHV1_cage_C	42
29	NC_001491.2	+	135564	135707	135564-135707::+	29		EHV1_cage_C	35
29	NC_001491.2	+	135564	135707	135564-135707::+	29		EHV1_cage_B	39
29	NC_001491.2	+	135564	135707	135564-135707::+	29		EHV1_cage_A	44
30	NC_001491.2	+	16554	16698	16554-16698::+	30		EHV1_cage_A	1
31	NC_001491.2	+	92409	92552	92409-92552::+	31		EHV1_cage_C	4
31	NC_001491.2	+	92409	92552	92409-92552::+	31		EHV1_cage_A	1
31	NC_001491.2	+	92409	92552	92409-92552::+	31		EHV1_cage_B	1
32	NC_001491.2	+	96455	96596	96455-96596::+	32		EHV1_cage_C	3
33	NC_001491.2	-	94408	94550	94408-94550::-	33		EHV1_cage_C	21
33	NC_001491.2	-	94408	94550	94408-94550::-	33		EHV1_cage_A	12
33	NC_001491.2	-	94408	94550	94408-94550::-	33		EHV1_cage_B	19
34	NC_001491.2	-	68911	69052	68911-69052::-	34		EHV1_cage_B	8
34	NC_001491.2	-	68911	69052	68911-69052::-	34		EHV1_cage_A	1
35	NC_001491.2	-	4199	4342	4199-4342::-	35		EHV1_cage_A	1
36	NC_001491.2	+	10569	10713	10569-10713::+	36		EHV1_cage_B	1
37	NC_001491.2	-	7119	7264	7119-7264::-	37		EHV1_cage_A	1
38	NC_001491.2	+	89355	89497	89355-89497::+	38		EHV1_cage_A	3
38	NC_001491.2	+	89355	89497	89355-89497::+	38		EHV1_cage_B	1
39	NC_001491.2	-	4167	4310	4167-4310::-	39		EHV1_cage_C	3
39	NC_001491.2	-	4167	4310	4167-4310::-	39		EHV1_cage_A	1
39	NC_001491.2	-	4167	4310	4167-4310::-	39		EHV1_cage_B	4
40	NC_001491.2	+	90712	90852	90712-90852::+	40		EHV1_cage_A	1
40	NC_001491.2	+	90712	90852	90712-90852::+	40		EHV1_cage_B	1
41	NC_001491.2	+	119537	119678	119537-119678::+	41		EHV1_cage_A	1
42	NC_001491.2	-	125193	125335	125193-125335::-	42		EHV1_cage_A	4
42	NC_001491.2	-	125193	125335	125193-125335::-	42		EHV1_cage_B	6
42	NC_001491.2	-	125193	125335	125193-125335::-	42		EHV1_cage_C	2
43	NC_001491.2	-	125192	125334	125192-125334::-	43		EHV1_cage_C	1
43	NC_001491.2	-	125192	125334	125192-125334::-	43		EHV1_cage_B	1
44	NC_001491.2	-	125192	125335	125192-125335::-	44		EHV1_cage_C	105
44	NC_001491.2	-	125192	125335	125192-125335::-	44		EHV1_cage_B	107
44	NC_001491.2	-	125192	125335	125192-125335::-	44		EHV1_cage_A	61
45	NC_001491.2	+	55255	55398	55255-55398::+	45		EHV1_cage_C	2
45	NC_001491.2	+	55255	55398	55255-55398::+	45		EHV1_cage_B	1
46	NC_001491.2	+	33907	34044	33907-34044::+	46		EHV1_cage_A	1
47	NC_001491.2	+	77591	77735	77591-77735::+	47		EHV1_cage_C	4
47	NC_001491.2	+	77591	77735	77591-77735::+	47		EHV1_cage_B	1
47	NC_001491.2	+	77591	77735	77591-77735::+	47		EHV1_cage_A	2
48	NC_001491.2	+	64687	64831	64687-64831::+	48		EHV1_cage_C	5
48	NC_001491.2	+	64687	64831	64687-64831::+	48		EHV1_cage_B	6
49	NC_001491.2	+	77591	77734	77591-77734::+	49		EHV1_cage_A	12
49	NC_001491.2	+	77591	77734	77591-77734::+	49		EHV1_cage_C	29
49	NC_001491.2	+	77591	77734	77591-77734::+	49		EHV1_cage_B	20
50	NC_001491.2	+	19645	19787	19645-19787::+	50		EHV1_cage_C	1
50	NC_001491.2	+	19645	19787	19645-19787::+	50		EHV1_cage_A	1
50	NC_001491.2	+	19645	19787	19645-19787::+	50		EHV1_cage_B	1
51	NC_001491.2	+	13528	13666	13528-13666::+	51		EHV1_cage_B	2
52	NC_001491.2	+	69780	69923	69780-69923::+	52		EHV1_cage_A	7
52	NC_001491.2	+	69780	69923	69780-69923::+	52		EHV1_cage_B	2
52	NC_001491.2	+	69780	69923	69780-69923::+	52		EHV1_cage_C	5
53	NC_001491.2	-	24134	24276	24134-24276::-	53		EHV1_cage_A	2
53	NC_001491.2	-	24134	24276	24134-24276::-	53		EHV1_cage_B	5
53	NC_001491.2	-	24134	24276	24134-24276::-	53		EHV1_cage_C	5
54	NC_001491.2	+	17969	18112	17969-18112::+	54		EHV1_cage_A	1
55	NC_001491.2	-	74045	74186	74045-74186::-	55		EHV1_cage_C	2
55	NC_001491.2	-	74045	74186	74045-74186::-	55		EHV1_cage_B	7
55	NC_001491.2	-	74045	74186	74045-74186::-	55		EHV1_cage_A	2
56	NC_001491.2	-	106532	106674	106532-106674::-	56		EHV1_cage_A	22
56	NC_001491.2	-	106532	106674	106532-106674::-	56		EHV1_cage_B	34
57	NC_001491.2	+	127634	127776	127634-127776::+	57		EHV1_cage_A	16
57	NC_001491.2	+	127634	127776	127634-127776::+	57		EHV1_cage_C	27
57	NC_001491.2	+	127634	127776	127634-127776::+	57		EHV1_cage_B	26
58	NC_001491.2	+	15085	15225	15085-15225::+	58		EHV1_cage_C	1
59	NC_001491.2	+	11986	12133	11986-12133::+	59		EHV1_cage_B	24
60	NC_001491.2	+	13528	13669	13528-13669::+	60		EHV1_cage_C	5
60	NC_001491.2	+	13528	13669	13528-13669::+	60		EHV1_cage_B	3
60	NC_001491.2	+	13528	13669	13528-13669::+	60		EHV1_cage_A	3
61	NC_001491.2	+	121003	121363	121003-121068::+, 121287-121363::+	61	62	EHV1_cage_C	19
61	NC_001491.2	+	121003	121363	121003-121068::+, 121287-121363::+	61	62	EHV1_cage_B	15
61	NC_001491.2	+	121003	121363	121003-121068::+, 121287-121363::+	61	62	EHV1_cage_A	10
62	NC_001491.2	-	4165	4307	4165-4307::-	63		EHV1_cage_C	1
62	NC_001491.2	-	4165	4307	4165-4307::-	63		EHV1_cage_A	1
63	NC_001491.2	+	126414	126558	126414-126558::+	64		EHV1_cage_C	1
64	NC_001491.2	+	86365	86508	86365-86508::+	65		EHV1_cage_B	6
64	NC_001491.2	+	86365	86508	86365-86508::+	65		EHV1_cage_A	2
64	NC_001491.2	+	86365	86508	86365-86508::+	65		EHV1_cage_C	3
65	NC_001491.2	+	17231	17374	17231-17374::+	66		EHV1_cage_B	1
65	NC_001491.2	+	17231	17374	17231-17374::+	66		EHV1_cage_C	1
66	NC_001491.2	+	118878	119021	118878-119021::+	67		EHV1_cage_C	4
66	NC_001491.2	+	118878	119021	118878-119021::+	67		EHV1_cage_B	2
66	NC_001491.2	+	118878	119021	118878-119021::+	67		EHV1_cage_A	1
67	NC_001491.2	+	50573	50716	50573-50716::+	68		EHV1_cage_A	6
67	NC_001491.2	+	50573	50716	50573-50716::+	68		EHV1_cage_C	23
67	NC_001491.2	+	50573	50716	50573-50716::+	68		EHV1_cage_B	16
68	NC_001491.2	+	121002	121363	121002-121068::+, 121287-121363::+	69	62	EHV1_cage_B	19
68	NC_001491.2	+	121002	121363	121002-121068::+, 121287-121363::+	69	62	EHV1_cage_A	16
68	NC_001491.2	+	121002	121363	121002-121068::+, 121287-121363::+	69	62	EHV1_cage_C	27
69	NC_001491.2	-	106535	106677	106535-106677::-	70		EHV1_cage_B	1
70	NC_001491.2	-	12120	12264	12120-12264::-	71		EHV1_cage_A	1
71	NC_001491.2	+	77359	77501	77359-77501::+	72		EHV1_cage_B	4
71	NC_001491.2	+	77359	77501	77359-77501::+	72		EHV1_cage_C	3
71	NC_001491.2	+	77359	77501	77359-77501::+	72		EHV1_cage_A	2
72	NC_001491.2	-	118699	119214	118699-118731::-, 119104-119214::-	73	74	EHV1_cage_A	1
72	NC_001491.2	-	118699	119214	118699-118731::-, 119104-119214::-	73	74	EHV1_cage_C	1
73	NC_001491.2	-	111848	111989	111848-111989::-	75		EHV1_cage_B	1
74	NC_001491.2	-	105994	106138	105994-106138::-	76		EHV1_cage_A	1
75	NC_001491.2	+	19661	19804	19661-19804::+	77		EHV1_cage_B	6
75	NC_001491.2	+	19661	19804	19661-19804::+	77		EHV1_cage_A	3
75	NC_001491.2	+	19661	19804	19661-19804::+	77		EHV1_cage_C	16
76	NC_001491.2	+	50576	50719	50576-50719::+	78		EHV1_cage_C	3
76	NC_001491.2	+	50576	50719	50576-50719::+	78		EHV1_cage_A	3
76	NC_001491.2	+	50576	50719	50576-50719::+	78		EHV1_cage_B	1
77	NC_001491.2	+	78588	78731	78588-78731::+	79		EHV1_cage_B	1
78	NC_001491.2	+	45483	45625	45483-45625::+	80		EHV1_cage_B	1
78	NC_001491.2	+	45483	45625	45483-45625::+	80		EHV1_cage_A	2
79	NC_001491.2	-	61981	62124	61981-62124::-	81		EHV1_cage_C	1
80	NC_001491.2	+	131515	131658	131515-131658::+	82		EHV1_cage_B	3
80	NC_001491.2	+	131515	131658	131515-131658::+	82		EHV1_cage_A	3
80	NC_001491.2	+	131515	131658	131515-131658::+	82		EHV1_cage_C	3
81	NC_001491.2	+	1252	1395	1252-1395::+	83		EHV1_cage_C	9
81	NC_001491.2	+	1252	1395	1252-1395::+	83		EHV1_cage_B	7
81	NC_001491.2	+	1252	1395	1252-1395::+	83		EHV1_cage_A	4
82	NC_001491.2	+	71119	71262	71119-71262::+	84		EHV1_cage_A	5
82	NC_001491.2	+	71119	71262	71119-71262::+	84		EHV1_cage_C	2
82	NC_001491.2	+	71119	71262	71119-71262::+	84		EHV1_cage_B	4
83	NC_001491.2	+	134346	134487	134346-134487::+	85		EHV1_cage_B	4
83	NC_001491.2	+	134346	134487	134346-134487::+	85		EHV1_cage_C	4
84	NC_001491.2	-	74041	74183	74041-74183::-	86		EHV1_cage_C	2
85	NC_001491.2	+	129051	129194	129051-129194::+	87		EHV1_cage_A	1
85	NC_001491.2	+	129051	129194	129051-129194::+	87		EHV1_cage_C	1
86	NC_001491.2	-	81120	81263	81120-81263::-	88		EHV1_cage_C	1
87	NC_001491.2	+	59209	59351	59209-59351::+	89		EHV1_cage_A	4
87	NC_001491.2	+	59209	59351	59209-59351::+	89		EHV1_cage_C	2
87	NC_001491.2	+	59209	59351	59209-59351::+	89		EHV1_cage_B	4
88	NC_001491.2	+	11990	12126	11990-12126::+	90		EHV1_cage_A	1
89	NC_001491.2	-	31202	31344	31202-31344::-	91		EHV1_cage_B	12
89	NC_001491.2	-	31202	31344	31202-31344::-	91		EHV1_cage_C	9
89	NC_001491.2	-	31202	31344	31202-31344::-	91		EHV1_cage_A	10
90	NC_001491.2	-	94405	94548	94405-94548::-	92		EHV1_cage_B	5
90	NC_001491.2	-	94405	94548	94405-94548::-	92		EHV1_cage_C	4
90	NC_001491.2	-	94405	94548	94405-94548::-	92		EHV1_cage_A	3
91	NC_001491.2	+	74720	74863	74720-74863::+	93		EHV1_cage_C	1
92	NC_001491.2	-	91182	91325	91182-91325::-	94		EHV1_cage_C	1
93	NC_001491.2	-	28101	28242	28101-28242::-	95		EHV1_cage_C	1
93	NC_001491.2	-	28101	28242	28101-28242::-	95		EHV1_cage_A	1
94	NC_001491.2	+	17982	18124	17982-18124::+	96		EHV1_cage_A	3
94	NC_001491.2	+	17982	18124	17982-18124::+	96		EHV1_cage_B	5
94	NC_001491.2	+	17982	18124	17982-18124::+	96		EHV1_cage_C	4
95	NC_001491.2	-	4947	5088	4947-5088::-	97		EHV1_cage_A	1
96	NC_001491.2	-	125195	125335	125195-125335::-	98		EHV1_cage_B	2
96	NC_001491.2	-	125195	125335	125195-125335::-	98		EHV1_cage_A	1
97	NC_001491.2	-	52475	52618	52475-52618::-	99		EHV1_cage_C	1
98	NC_001491.2	-	12119	12260	12119-12260::-	100		EHV1_cage_A	13
98	NC_001491.2	-	12119	12260	12119-12260::-	100		EHV1_cage_C	13
98	NC_001491.2	-	12119	12260	12119-12260::-	100		EHV1_cage_B	13
99	NC_001491.2	+	66315	66458	66315-66458::+	101		EHV1_cage_A	1
99	NC_001491.2	+	66315	66458	66315-66458::+	101		EHV1_cage_B	1
100	NC_001491.2	-	10200	10344	10200-10344::-	102		EHV1_cage_B	1
101	NC_001491.2	+	14364	14507	14364-14507::+	103		EHV1_cage_A	1
102	NC_001491.2	-	74040	74183	74040-74183::-	104		EHV1_cage_B	13
102	NC_001491.2	-	74040	74183	74040-74183::-	104		EHV1_cage_A	10
102	NC_001491.2	-	74040	74183	74040-74183::-	104		EHV1_cage_C	28
103	NC_001491.2	-	106532	106672	106532-106672::-	105		EHV1_cage_A	1
103	NC_001491.2	-	106532	106672	106532-106672::-	105		EHV1_cage_B	2
104	NC_001491.2	-	47231	47374	47231-47374::-	106		EHV1_cage_C	20
104	NC_001491.2	-	47231	47374	47231-47374::-	106		EHV1_cage_B	18
104	NC_001491.2	-	47231	47374	47231-47374::-	106		EHV1_cage_A	12
105	NC_001491.2	+	64744	64887	64744-64887::+	107		EHV1_cage_C	2
106	NC_001491.2	+	17985	18128	17985-18128::+	108		EHV1_cage_A	6
106	NC_001491.2	+	17985	18128	17985-18128::+	108		EHV1_cage_C	6
106	NC_001491.2	+	17985	18128	17985-18128::+	108		EHV1_cage_B	1
107	NC_001491.2	+	12760	12902	12760-12902::+	109		EHV1_cage_A	1
108	NC_001491.2	-	125195	125340	125195-125340::-	110		EHV1_cage_B	5
109	NC_001491.2	+	136583	136726	136583-136726::+	111		EHV1_cage_C	1
109	NC_001491.2	+	136583	136726	136583-136726::+	111		EHV1_cage_B	2
109	NC_001491.2	+	136583	136726	136583-136726::+	111		EHV1_cage_A	1
110	NC_001491.2	+	33238	33379	33238-33379::+	112		EHV1_cage_B	2
110	NC_001491.2	+	33238	33379	33238-33379::+	112		EHV1_cage_C	2
110	NC_001491.2	+	33238	33379	33238-33379::+	112		EHV1_cage_A	1
111	NC_001491.2	-	25628	25771	25628-25771::-	113		EHV1_cage_A	3
111	NC_001491.2	-	25628	25771	25628-25771::-	113		EHV1_cage_C	1
111	NC_001491.2	-	25628	25771	25628-25771::-	113		EHV1_cage_B	2
112	NC_001491.2	+	89189	89332	89189-89332::+	114		EHV1_cage_C	3
112	NC_001491.2	+	89189	89332	89189-89332::+	114		EHV1_cage_A	1
113	NC_001491.2	-	124330	124473	124330-124473::-	115		EHV1_cage_C	1
113	NC_001491.2	-	124330	124473	124330-124473::-	115		EHV1_cage_A	1
114	NC_001491.2	+	80250	80392	80250-80392::+	116		EHV1_cage_C	1
115	NC_001491.2	+	2669	2810	2669-2810::+	117		EHV1_cage_C	1
115	NC_001491.2	+	2669	2810	2669-2810::+	117		EHV1_cage_B	1
116	NC_001491.2	+	122821	122964	122821-122964::+	118		EHV1_cage_C	1
116	NC_001491.2	+	122821	122964	122821-122964::+	118		EHV1_cage_A	1
117	NC_001491.2	-	5809	5952	5809-5952::-	119		EHV1_cage_C	9
117	NC_001491.2	-	5809	5952	5809-5952::-	119		EHV1_cage_B	15
117	NC_001491.2	-	5809	5952	5809-5952::-	119		EHV1_cage_A	8
118	NC_001491.2	-	108174	108317	108174-108317::-	120		EHV1_cage_C	21
118	NC_001491.2	-	108174	108317	108174-108317::-	120		EHV1_cage_B	11
118	NC_001491.2	-	108174	108317	108174-108317::-	120		EHV1_cage_A	9
119	NC_001491.2	+	77593	77736	77593-77736::+	121		EHV1_cage_C	6
119	NC_001491.2	+	77593	77736	77593-77736::+	121		EHV1_cage_B	2
119	NC_001491.2	+	77593	77736	77593-77736::+	121		EHV1_cage_A	2
120	NC_001491.2	-	123360	123504	123360-123504::-	122		EHV1_cage_C	1
121	NC_001491.2	-	48103	48247	48103-48247::-	123		EHV1_cage_C	4
122	NC_001491.2	+	12471	12613	12471-12613::+	124		EHV1_cage_C	18
122	NC_001491.2	+	12471	12613	12471-12613::+	124		EHV1_cage_B	14
122	NC_001491.2	+	12471	12613	12471-12613::+	124		EHV1_cage_A	10
123	NC_001491.2	+	61310	61453	61310-61453::+	125		EHV1_cage_A	4
123	NC_001491.2	+	61310	61453	61310-61453::+	125		EHV1_cage_B	5
123	NC_001491.2	+	61310	61453	61310-61453::+	125		EHV1_cage_C	2
124	NC_001491.2	-	32909	33051	32909-33051::-	126		EHV1_cage_B	8
124	NC_001491.2	-	32909	33051	32909-33051::-	126		EHV1_cage_C	14
124	NC_001491.2	-	32909	33051	32909-33051::-	126		EHV1_cage_A	2
125	NC_001491.2	+	15083	15225	15083-15225::+	127		EHV1_cage_B	11
125	NC_001491.2	+	15083	15225	15083-15225::+	127		EHV1_cage_A	9
125	NC_001491.2	+	15083	15225	15083-15225::+	127		EHV1_cage_C	10
126	NC_001491.2	+	7112	7253	7112-7253::+	128		EHV1_cage_A	1
127	NC_001491.2	+	131507	131652	131507-131652::+	129		EHV1_cage_C	1
128	NC_001491.2	+	61312	61451	61312-61451::+	130		EHV1_cage_C	1
129	NC_001491.2	+	2668	2813	2668-2813::+	131		EHV1_cage_B	1
129	NC_001491.2	+	2668	2813	2668-2813::+	131		EHV1_cage_A	1
130	NC_001491.2	+	81902	82045	81902-82045::+	132		EHV1_cage_B	19
130	NC_001491.2	+	81902	82045	81902-82045::+	132		EHV1_cage_C	20
130	NC_001491.2	+	81902	82045	81902-82045::+	132		EHV1_cage_A	21
131	NC_001491.2	-	77110	77251	77110-77251::-	133		EHV1_cage_C	1
132	NC_001491.2	-	32909	33053	32909-33053::-	134		EHV1_cage_B	2
133	NC_001491.2	-	68433	68575	68433-68575::-	135		EHV1_cage_B	1
134	NC_001491.2	+	77593	77734	77593-77734::+	136		EHV1_cage_C	2
135	NC_001491.2	+	126340	126482	126340-126482::+	137		EHV1_cage_A	1
136	NC_001491.2	+	119443	119587	119443-119587::+	138		EHV1_cage_B	1
137	NC_001491.2	+	121002	121145	121002-121145::+	139		EHV1_cage_B	1
137	NC_001491.2	+	121002	121145	121002-121145::+	139		EHV1_cage_A	1
137	NC_001491.2	+	121002	121145	121002-121145::+	139		EHV1_cage_C	1
138	NC_001491.2	-	47231	47375	47231-47375::-	140		EHV1_cage_B	4
138	NC_001491.2	-	47231	47375	47231-47375::-	140		EHV1_cage_A	1
139	NC_001491.2	+	16277	16421	16277-16421::+	141		EHV1_cage_C	1
140	NC_001491.2	+	64684	64830	64684-64830::+	142		EHV1_cage_B	3
141	NC_001491.2	+	64487	64630	64487-64630::+	143		EHV1_cage_B	3
141	NC_001491.2	+	64487	64630	64487-64630::+	143		EHV1_cage_A	1
142	NC_001491.2	+	127637	127779	127637-127779::+	144		EHV1_cage_A	5
142	NC_001491.2	+	127637	127779	127637-127779::+	144		EHV1_cage_C	3
143	NC_001491.2	-	29178	29321	29178-29321::-	145		EHV1_cage_C	1
144	NC_001491.2	-	111890	112033	111890-112033::-	146		EHV1_cage_A	5
144	NC_001491.2	-	111890	112033	111890-112033::-	146		EHV1_cage_C	10
144	NC_001491.2	-	111890	112033	111890-112033::-	146		EHV1_cage_B	6
145	NC_001491.2	+	121006	121367	121006-121068::+, 121287-121367::+	147	148	EHV1_cage_C	108
145	NC_001491.2	+	121006	121367	121006-121068::+, 121287-121367::+	147	148	EHV1_cage_B	83
145	NC_001491.2	+	121006	121367	121006-121068::+, 121287-121367::+	147	148	EHV1_cage_A	70
146	NC_001491.2	+	36498	36641	36498-36641::+	149		EHV1_cage_B	1
146	NC_001491.2	+	36498	36641	36498-36641::+	149		EHV1_cage_C	1
146	NC_001491.2	+	36498	36641	36498-36641::+	149		EHV1_cage_A	1
147	NC_001491.2	-	82322	82465	82322-82465::-	150		EHV1_cage_C	1
148	NC_001491.2	+	45637	45781	45637-45781::+	151		EHV1_cage_B	1
149	NC_001491.2	-	54695	54838	54695-54838::-	152		EHV1_cage_C	1
150	NC_001491.2	-	28841	28983	28841-28983::-	153		EHV1_cage_B	16
150	NC_001491.2	-	28841	28983	28841-28983::-	153		EHV1_cage_A	14
150	NC_001491.2	-	28841	28983	28841-28983::-	153		EHV1_cage_C	17
151	NC_001491.2	+	81290	81432	81290-81432::+	154		EHV1_cage_C	1
152	NC_001491.2	-	2397	2511	2397-2511::-	155		EHV1_cage_B	1
153	NC_001491.2	-	117529	117674	117529-117674::-	156		EHV1_cage_A	1
154	NC_001491.2	+	134347	134487	134347-134487::+	157		EHV1_cage_C	1
154	NC_001491.2	+	134347	134487	134347-134487::+	157		EHV1_cage_B	1
155	NC_001491.2	-	108590	108735	108590-108735::-	158		EHV1_cage_A	1
156	NC_001491.2	-	2399	2538	2399-2538::-	159		EHV1_cage_B	1
157	NC_001491.2	+	132880	133023	132880-133023::+	160		EHV1_cage_A	1
158	NC_001491.2	+	45486	45629	45486-45629::+	161		EHV1_cage_B	1
159	NC_001491.2	+	126338	126482	126338-126482::+	162		EHV1_cage_C	19
159	NC_001491.2	+	126338	126482	126338-126482::+	162		EHV1_cage_A	7
159	NC_001491.2	+	126338	126482	126338-126482::+	162		EHV1_cage_B	8
160	NC_001491.2	-	108173	108318	108173-108318::-	163		EHV1_cage_C	3
161	NC_001491.2	+	92409	92553	92409-92553::+	164		EHV1_cage_C	6
161	NC_001491.2	+	92409	92553	92409-92553::+	164		EHV1_cage_A	1
162	NC_001491.2	-	46031	46175	46031-46175::-	165		EHV1_cage_B	1
163	NC_001491.2	+	17984	18125	17984-18125::+	166		EHV1_cage_C	1
164	NC_001491.2	+	90722	90865	90722-90865::+	167		EHV1_cage_B	6
164	NC_001491.2	+	90722	90865	90722-90865::+	167		EHV1_cage_C	3
164	NC_001491.2	+	90722	90865	90722-90865::+	167		EHV1_cage_A	1
165	NC_001491.2	+	69780	69919	69780-69919::+	168		EHV1_cage_B	1
166	NC_001491.2	+	36500	36643	36500-36643::+	169		EHV1_cage_B	2
166	NC_001491.2	+	36500	36643	36500-36643::+	169		EHV1_cage_C	2
166	NC_001491.2	+	36500	36643	36500-36643::+	169		EHV1_cage_A	3
167	NC_001491.2	+	62794	62936	62794-62936::+	170		EHV1_cage_B	1
168	NC_001491.2	+	48921	49064	48921-49064::+	171		EHV1_cage_C	1
169	NC_001491.2	+	17984	18127	17984-18127::+	172		EHV1_cage_C	1
169	NC_001491.2	+	17984	18127	17984-18127::+	172		EHV1_cage_A	1
170	NC_001491.2	-	20964	21107	20964-21107::-	173		EHV1_cage_C	1
171	NC_001491.2	+	81902	82043	81902-82043::+	174		EHV1_cage_A	1
171	NC_001491.2	+	81902	82043	81902-82043::+	174		EHV1_cage_B	1
171	NC_001491.2	+	81902	82043	81902-82043::+	174		EHV1_cage_C	2
172	NC_001491.2	-	49848	49991	49848-49991::-	175		EHV1_cage_C	1
173	NC_001491.2	-	25581	25723	25581-25723::-	176		EHV1_cage_C	1
174	NC_001491.2	-	7257	7400	7257-7400::-	177		EHV1_cage_B	2
174	NC_001491.2	-	7257	7400	7257-7400::-	177		EHV1_cage_A	3
174	NC_001491.2	-	7257	7400	7257-7400::-	177		EHV1_cage_C	1
175	NC_001491.2	+	80950	81093	80950-81093::+	178		EHV1_cage_B	1
176	NC_001491.2	+	18006	18128	18006-18128::+	179		EHV1_cage_B	1
177	NC_001491.2	+	127659	127776	127659-127776::+	180		EHV1_cage_B	1
178	NC_001491.2	+	45086	45228	45086-45228::+	181		EHV1_cage_C	1
179	NC_001491.2	-	32910	33053	32910-33053::-	182		EHV1_cage_B	8
179	NC_001491.2	-	32910	33053	32910-33053::-	182		EHV1_cage_A	2
